場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,支部,出身,年齢,締切時刻
桐生,01,20260618,7R,1,4593,A2,小坂　　宗司,0,0,0.16,6.01,35.51,65.42,6.28,44.83,62.07,大阪,兵庫,45,18:16
桐生,01,20260618,7R,2,3868,B1,尾形　　栄治,0,0,0.20,4.79,26.32,45.26,4.68,31.58,36.84,東京,東京,50,18:16
桐生,01,20260618,7R,3,5066,A2,鈴木　　孝明,0,0,0.17,7.09,55.75,76.99,4.57,17.86,42.86,埼玉,埼玉,27,18:16
桐生,01,20260618,7R,4,4020,B1,川上　　清人,0,0,0.20,4.46,29.67,42.86,3.78,18.52,37.04,香川,高知,46,18:16
桐生,01,20260618,7R,5,4690,B2,高石　　梨菜,0,0,,5.00,29.41,47.06,0.00,0.00,0.00,東京,東京,32,18:16
桐生,01,20260618,7R,6,3893,B1,汐崎　　正則,0,0,0.16,5.01,29.35,47.83,4.78,22.22,50.00,愛知,愛知,50,18:16
桐生,01,20260618,8R,1,4513,A2,河野　　真也,0,0,0.18,5.69,41.94,54.84,6.00,44.44,61.11,福岡,宮崎,37,18:46
桐生,01,20260618,8R,2,3467,B1,森　　　弘行,0,0,0.17,3.97,15.38,35.38,3.84,18.75,31.25,東京,東京,57,18:46
桐生,01,20260618,8R,3,4898,B1,菊地　　敬介,0,0,0.16,4.65,28.99,44.93,3.89,13.64,25.00,埼玉,埼玉,34,18:46
桐生,01,20260618,8R,4,3834,B1,細川　　明人,0,0,0.21,3.73,21.43,26.19,3.73,20.00,33.33,岡山,岡山,51,18:46
桐生,01,20260618,8R,5,4363,A2,大野　　芳顕,0,0,0.15,5.88,40.16,60.66,4.37,26.32,42.11,福岡,福岡,41,18:46
桐生,01,20260618,8R,6,5228,B2,若林　　樹蘭,0,0,0.16,5.96,39.02,56.10,5.82,36.36,45.45,東京,山梨,23,18:46
桐生,01,20260618,9R,1,4901,B2,出口　舞有子,0,0,0.19,5.07,26.39,51.39,4.22,33.33,33.33,愛知,愛知,33,19:14
桐生,01,20260618,9R,2,5376,B1,吉田　　一心,0,0,0.17,5.08,32.18,50.57,6.22,44.44,77.78,大阪,大阪,22,19:14
桐生,01,20260618,9R,3,4973,A2,栗原　　直也,1,0,0.18,5.22,33.62,48.28,5.48,34.48,58.62,埼玉,埼玉,33,19:14
桐生,01,20260618,9R,4,3655,A2,本橋　　克洋,1,0,0.17,5.35,30.65,54.03,5.92,38.33,60.83,群馬,群馬,52,19:14
桐生,01,20260618,9R,5,3981,B1,今坂　　晃広,0,0,0.20,3.94,18.27,29.81,3.21,20.83,25.00,静岡,静岡,48,19:14
桐生,01,20260618,9R,6,5000,B1,岡本　翔太郎,1,0,0.13,4.71,27.38,42.86,0.00,0.00,0.00,山口,山口,31,19:14
桐生,01,20260618,10R,1,4099,A1,吉永　　則雄,0,0,0.17,5.93,40.19,59.81,6.50,64.29,64.29,大阪,大阪,47,19:43
桐生,01,20260618,10R,2,3973,B1,崎　　　利仁,0,0,0.19,3.99,18.48,30.43,4.84,28.18,41.82,群馬,栃木,49,19:43
桐生,01,20260618,10R,3,4049,A2,荒川　　健太,0,0,0.17,6.11,40.15,60.61,5.43,31.43,54.29,三重,三重,45,19:43
桐生,01,20260618,10R,4,4931,A1,木谷　　賢太,0,0,0.14,6.76,48.03,77.17,5.94,38.89,55.56,香川,香川,30,19:43
桐生,01,20260618,10R,5,4953,A1,尾上　　雅也,0,0,0.14,6.64,53.91,66.09,5.17,31.71,46.34,埼玉,埼玉,31,19:43
桐生,01,20260618,10R,6,3349,A2,吉田　　一郎,0,0,0.16,6.78,53.09,74.07,5.65,40.00,55.00,長崎,長崎,58,19:43
桐生,01,20260618,11R,1,3893,B1,汐崎　　正則,0,0,0.16,5.01,29.35,47.83,4.78,22.22,50.00,愛知,愛知,50,20:11
