登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率
5444,2025-12-27,2026-06-27,77,0,0,0,0,0,0,0,,,-0.42,0.0
5445,2025-12-27,2026-06-27,25,0,0,0,0,0,0,0,,,-0.46,0.0
5446,2025-12-27,2026-06-27,20,0,0,0,0,0,0,0,,,-0.38,0.0
5447,2025-12-27,2026-06-27,15,0,0,0,0,0,0,0,,,-0.27,0.0
5448,2025-12-27,2026-06-27,14,0,0,0,0,0,0,0,,,-0.23,0.0
5449,2025-12-27,2026-06-27,17,1,0,0,1,0,0,0,100.0,0.0,-0.18,0.0
5450,2025-12-27,2026-06-27,24,0,0,0,0,0,0,0,,,-0.21,0.0
5451,2025-12-27,2026-06-27,15,0,0,0,0,0,0,0,,,-0.08,0.0
5452,2025-12-27,2026-06-27,20,0,0,0,0,0,0,0,,,-0.3,0.0
5453,2025-12-27,2026-06-27,26,0,0,0,0,0,0,0,,,-0.36,0.0
5454,2025-12-27,2026-06-27,24,0,0,0,0,0,0,0,,,-0.29,0.0
5455,2025-12-27,2026-06-27,22,0,0,0,0,0,0,0,,,-0.55,0.0
5456,2025-12-27,2026-06-27,24,0,0,0,0,0,0,0,,,-0.13,0.0
5457,2025-12-27,2026-06-27,20,0,0,0,0,0,0,0,,,-0.18,0.0
5458,2025-12-27,2026-06-27,26,0,0,0,0,0,0,0,,,-0.29,0.0
5459,2025-12-27,2026-06-27,13,0,0,0,0,0,0,0,,,-0.38,0.0
5460,2025-12-27,2026-06-27,30,0,0,0,0,0,0,0,,,-0.34,0.0
5461,2025-12-27,2026-06-27,24,0,0,0,0,0,0,0,,,-0.52,0.0
5462,2025-12-27,2026-06-27,19,0,0,0,0,0,0,0,,,-0.33,0.0
5463,2025-12-27,2026-06-27,15,0,0,0,0,0,0,0,,,-0.13,0.0
5464,2025-12-27,2026-06-27,17,0,0,0,0,0,0,0,,,-0.31,0.0
5465,2025-12-27,2026-06-27,16,0,0,0,0,0,0,0,,,-0.31,0.0
5466,2025-12-27,2026-06-27,23,0,0,0,0,0,0,0,,,-0.59,0.0
5467,2025-12-27,2026-06-27,25,0,0,0,0,0,0,0,,,-0.24,0.0
5468,2025-12-27,2026-06-27,24,0,0,0,0,0,0,0,,,-0.3,0.0
5469,2025-12-27,2026-06-27,25,0,0,0,0,0,0,0,,,-0.38,0.0
5470,2025-12-27,2026-06-27,15,0,0,0,0,0,0,0,,,-0.21,0.0
5471,2025-12-27,2026-06-27,32,0,0,0,0,0,0,0,,,-0.3,0.0
5472,2025-12-27,2026-06-27,22,0,0,0,0,0,0,0,,,-0.35,0.0
