登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率
5273,2025-12-27,2026-06-27,115,13,7,1,1,4,0,0,7.7,7.7,-0.03,0.0
5274,2025-12-27,2026-06-27,101,24,12,2,4,2,4,0,16.7,8.3,-0.07,0.0
5275,2025-12-27,2026-06-27,136,45,17,7,8,6,6,1,17.8,15.6,0.05,0.8
5276,2025-12-27,2026-06-27,114,9,4,1,1,2,1,0,11.1,11.1,0.03,1.1
5277,2025-12-27,2026-06-27,109,16,6,2,5,2,0,1,31.2,12.5,0.0,0.0
5278,2025-12-27,2026-06-27,154,60,29,4,10,14,3,0,16.7,6.7,-0.04,0.0
5279,2025-12-27,2026-06-27,99,19,9,2,2,2,4,0,10.5,10.5,-0.03,0.0
5280,2025-12-27,2026-06-27,139,43,23,5,5,4,6,0,11.6,11.6,-0.04,0.0
5281,2025-12-27,2026-06-27,124,32,17,6,4,3,2,0,12.5,18.8,0.01,0.0
5282,2025-12-27,2026-06-27,121,22,11,3,7,1,0,0,31.8,13.6,-0.06,1.0
5283,2025-12-27,2026-06-27,64,3,0,0,0,2,1,0,0.0,0.0,-0.11,0.0
5284,2025-12-27,2026-06-27,72,2,1,1,0,0,0,0,0.0,50.0,-0.02,0.0
5285,2025-12-27,2026-06-27,90,7,5,0,0,1,1,0,0.0,0.0,-0.01,0.0
5286,2025-12-27,2026-06-27,115,11,6,0,3,1,1,0,27.3,0.0,-0.03,0.0
5287,2025-12-27,2026-06-27,90,4,1,1,0,1,1,0,0.0,25.0,-0.01,0.0
5288,2025-12-27,2026-06-27,79,6,2,0,0,3,1,0,0.0,0.0,-0.03,0.0
5289,2025-12-27,2026-06-27,117,20,11,0,5,2,2,0,25.0,0.0,-0.03,0.9
5290,2025-12-27,2026-06-27,115,4,2,0,1,0,1,0,25.0,0.0,0.0,0.0
5291,2025-12-27,2026-06-27,119,5,3,1,0,0,0,1,0.0,20.0,-0.14,0.0
5292,2025-12-27,2026-06-27,101,5,1,2,1,0,1,0,20.0,40.0,-0.08,0.0
5293,2025-12-27,2026-06-27,57,2,1,1,0,0,0,0,0.0,50.0,-0.18,0.0
5294,2025-12-27,2026-06-27,89,8,3,1,3,0,1,0,37.5,12.5,-0.08,0.0
5295,2025-12-27,2026-06-27,101,18,5,1,11,1,0,0,61.1,5.6,-0.91,0.0
5296,2025-12-27,2026-06-27,93,11,3,3,4,1,0,0,36.4,27.3,-0.29,0.0
5297,2025-12-27,2026-06-27,111,6,4,1,0,0,1,0,0.0,16.7,-0.05,0.0
5298,2025-12-27,2026-06-27,133,45,17,5,8,10,5,0,17.8,11.1,0.06,3.1
5299,2025-12-27,2026-06-27,113,27,11,4,5,5,2,0,18.5,14.8,-0.02,0.0
5300,2025-12-27,2026-06-27,102,2,1,0,0,0,1,0,0.0,0.0,-0.03,0.0
5301,2025-12-27,2026-06-27,113,21,13,0,6,2,0,0,28.6,0.0,0.02,0.0
5302,2025-12-27,2026-06-27,97,8,6,1,0,1,0,0,0.0,12.5,0.01,3.5
5303,2025-12-27,2026-06-27,89,11,5,2,2,1,1,0,18.2,18.2,-0.02,0.0
5304,2025-12-27,2026-06-27,67,1,0,0,1,0,0,0,100.0,0.0,-0.3,0.0
5305,2025-12-27,2026-06-27,102,2,1,0,1,0,0,0,50.0,0.0,-0.1,0.0
5306,2025-12-27,2026-06-27,109,3,1,0,1,0,0,1,33.3,0.0,0.0,0.9
5307,2025-12-27,2026-06-27,115,13,7,1,0,3,2,0,0.0,7.7,0.0,1.0
5308,2025-12-27,2026-06-27,105,8,2,1,2,2,0,1,25.0,12.5,-0.09,0.0
5309,2025-12-27,2026-06-27,86,5,3,1,0,1,0,0,0.0,20.0,-0.06,0.0
5310,2025-12-27,2026-06-27,83,7,3,0,1,3,0,0,14.3,0.0,-0.06,0.0
5311,2025-12-27,2026-06-27,105,17,7,4,2,2,2,0,11.8,23.5,-0.09,0.0
5312,2025-12-27,2026-06-27,107,10,3,2,3,0,1,1,30.0,20.0,-0.07,0.0
5313,2025-12-27,2026-06-27,106,12,3,3,3,1,1,1,25.0,25.0,-0.01,0.0
5314,2025-12-27,2026-06-27,83,4,4,0,0,0,0,0,0.0,0.0,-0.02,0.0
5315,2025-12-27,2026-06-27,85,3,0,0,2,1,0,0,66.7,0.0,-0.11,0.0
5316,2025-12-27,2026-06-27,92,12,10,1,1,0,0,0,8.3,8.3,-0.07,0.0
5317,2025-12-27,2026-06-27,123,8,5,1,0,1,0,1,0.0,12.5,-0.02,0.0
5318,2025-12-27,2026-06-27,113,6,3,0,1,1,1,0,16.7,0.0,-0.13,0.0
5319,2025-12-27,2026-06-27,82,12,4,3,3,2,0,0,25.0,25.0,-0.03,0.0
5320,2025-12-27,2026-06-27,90,2,1,0,1,0,0,0,50.0,0.0,0.04,0.0
5321,2025-12-27,2026-06-27,94,13,4,1,3,3,2,0,23.1,7.7,-0.11,0.0
5322,2025-12-27,2026-06-27,90,4,2,0,2,0,0,0,50.0,0.0,-0.03,0.0
5323,2025-12-27,2026-06-27,92,7,6,0,1,0,0,0,14.3,0.0,-0.17,0.0
5324,2025-12-27,2026-06-27,73,2,2,0,0,0,0,0,0.0,0.0,-0.08,0.0
5325,2025-12-27,2026-06-27,116,16,9,1,3,1,2,0,18.8,6.2,-0.05,0.0
5326,2025-12-27,2026-06-27,132,20,7,2,3,6,2,0,15.0,10.0,0.02,0.0
5327,2025-12-27,2026-06-27,75,0,0,0,0,0,0,0,,,-0.07,0.0
5328,2025-12-27,2026-06-27,85,6,3,1,1,1,0,0,16.7,16.7,-0.04,0.0
5329,2025-12-27,2026-06-27,90,11,5,0,1,4,0,1,9.1,0.0,0.01,0.0
5330,2025-12-27,2026-06-27,146,39,20,2,7,6,3,1,17.9,5.1,0.05,0.8
5331,2025-12-27,2026-06-27,97,14,7,1,4,1,0,1,28.6,7.1,-0.14,0.0
5332,2025-12-27,2026-06-27,94,10,8,1,0,1,0,0,0.0,10.0,0.01,1.2
5333,2025-12-27,2026-06-27,50,6,4,0,0,1,1,0,0.0,0.0,-0.04,0.0
5334,2025-12-27,2026-06-27,105,2,1,0,0,0,1,0,0.0,0.0,-0.04,0.0
5335,2025-12-27,2026-06-27,77,2,2,0,0,0,0,0,0.0,0.0,-0.1,0.0
5336,2025-12-27,2026-06-27,112,4,3,1,0,0,0,0,0.0,25.0,-0.15,0.0
5337,2025-12-27,2026-06-27,106,5,0,0,0,5,0,0,0.0,0.0,-0.03,0.0
5338,2025-12-27,2026-06-27,106,6,2,1,3,0,0,0,50.0,16.7,-0.06,0.0
5339,2025-12-27,2026-06-27,88,14,2,4,0,6,2,0,0.0,28.6,-0.05,0.0
5340,2025-12-27,2026-06-27,118,8,1,1,0,5,1,0,0.0,12.5,-0.04,0.0
5341,2025-12-27,2026-06-27,71,2,1,0,1,0,0,0,50.0,0.0,-0.13,0.0
5342,2025-12-27,2026-06-27,70,1,0,0,1,0,0,0,100.0,0.0,-0.12,0.0
5343,2025-12-27,2026-06-27,91,2,1,0,0,1,0,0,0.0,0.0,-0.01,0.0
5344,2025-12-27,2026-06-27,102,13,4,1,4,2,1,1,30.8,7.7,-0.11,0.0
5345,2025-12-27,2026-06-27,117,4,2,0,0,0,1,1,0.0,0.0,-0.16,0.0
5346,2025-12-27,2026-06-27,84,0,0,0,0,0,0,0,,,-0.01,0.0
5347,2025-12-27,2026-06-27,74,0,0,0,0,0,0,0,,,-0.08,0.0
5348,2025-12-27,2026-06-27,87,7,0,1,1,3,1,1,14.3,14.3,-0.03,1.2
5349,2025-12-27,2026-06-27,83,1,0,0,0,1,0,0,0.0,0.0,-0.15,0.0
5350,2025-12-27,2026-06-27,107,10,3,1,3,2,1,0,30.0,10.0,-0.14,0.0
5351,2025-12-27,2026-06-27,112,12,7,2,0,2,0,1,0.0,16.7,-0.03,0.0
5352,2025-12-27,2026-06-27,112,15,7,1,2,4,0,1,13.3,6.7,-0.06,0.0
5353,2025-12-27,2026-06-27,85,3,0,0,0,2,1,0,0.0,0.0,-0.19,0.0
5354,2025-12-27,2026-06-27,81,5,0,2,0,2,1,0,0.0,40.0,-0.09,0.0
5355,2025-12-27,2026-06-27,83,0,0,0,0,0,0,0,,,-0.17,0.0
5356,2025-12-27,2026-06-27,84,14,7,2,1,3,1,0,7.1,14.3,0.03,1.3
5357,2025-12-27,2026-06-27,86,0,0,0,0,0,0,0,,,-0.35,0.0
5358,2025-12-27,2026-06-27,43,0,0,0,0,0,0,0,,,-0.17,0.0
5359,2025-12-27,2026-06-27,100,13,3,1,7,2,0,0,53.8,7.7,-0.06,0.0
5360,2025-12-27,2026-06-27,85,3,3,0,0,0,0,0,0.0,0.0,-0.05,0.0
